91/2940 w = uniform, k = 1, l1 = 1, l2 = 0.5, tukey = True, tukey_lambda = 1, kmeans: 1, accuracy = 85.68
92/2940 w = uniform, k = 1, l1 = 1, l2 = 0.5, tukey = True, tukey_lambda = 1, kmeans: 3, accuracy = 85.73
93/2940 w = uniform, k = 1, l1 = 1, l2 = 0.5, tukey = True, tukey_lambda = 1, kmeans: 5, accuracy = 85.84
94/2940 w = uniform, k = 1, l1 = 1, l2 = 0.5, tukey = True, tukey_lambda = 1, kmeans: 10, accuracy = 85.89
95/2940 w = uniform, k = 1, l1 = 1, l2 = 0.5, tukey = True, tukey_lambda = 1, kmeans: 25, accuracy = 86.17
96/2940 w = uniform, k = 1, l1 = 1, l2 = 0.5, tukey = True, tukey_lambda = 1, kmeans: 50, accuracy = 86.26
97/2940 w = uniform, k = 1, l1 = 1, l2 = 1, tukey = True, tukey_lambda = 1, kmeans: 1, accuracy = 85.63000000000001
98/2940 w = uniform, k = 1, l1 = 1, l2 = 1, tukey = True, tukey_lambda = 1, kmeans: 3, accuracy = 85.55
99/2940 w = uniform, k = 1, l1 = 1, l2 = 1, tukey = True, tukey_lambda = 1, kmeans: 5, accuracy = 85.74000000000001
100/2940 w = uniform, k = 1, l1 = 1, l2 = 1, tukey = True, tukey_lambda = 1, kmeans: 10, accuracy = 85.80000000000001
101/2940 w = uniform, k = 1, l1 = 1, l2 = 1, tukey = True, tukey_lambda = 1, kmeans: 25, accuracy = 86.25
102/2940 w = uniform, k = 1, l1 = 1, l2 = 1, tukey = True, tukey_lambda = 1, kmeans: 50, accuracy = 86.32000000000001
103/2940 w = uniform, k = 1, l1 = 1, l2 = 2, tukey = True, tukey_lambda = 1, kmeans: 1, accuracy = 85.68
104/2940 w = uniform, k = 1, l1 = 1, l2 = 2, tukey = True, tukey_lambda = 1, kmeans: 3, accuracy = 85.66
105/2940 w = uniform, k = 1, l1 = 1, l2 = 2, tukey = True, tukey_lambda = 1, kmeans: 5, accuracy = 85.86
106/2940 w = uniform, k = 1, l1 = 1, l2 = 2, tukey = True, tukey_lambda = 1, kmeans: 10, accuracy = 86.05000000000001
107/2940 w = uniform, k = 1, l1 = 1, l2 = 2, tukey = True, tukey_lambda = 1, kmeans: 25, accuracy = 86.09
108/2940 w = uniform, k = 1, l1 = 1, l2 = 2, tukey = True, tukey_lambda = 1, kmeans: 50, accuracy = 86.42
109/2940 w = uniform, k = 1, l1 = 1, l2 = 2.5, tukey = True, tukey_lambda = 1, kmeans: 1, accuracy = 85.66
110/2940 w = uniform, k = 1, l1 = 1, l2 = 2.5, tukey = True, tukey_lambda = 1, kmeans: 3, accuracy = 85.84
111/2940 w = uniform, k = 1, l1 = 1, l2 = 2.5, tukey = True, tukey_lambda = 1, kmeans: 5, accuracy = 85.77
112/2940 w = uniform, k = 1, l1 = 1, l2 = 2.5, tukey = True, tukey_lambda = 1, kmeans: 10, accuracy = 86.07000000000001
113/2940 w = uniform, k = 1, l1 = 1, l2 = 2.5, tukey = True, tukey_lambda = 1, kmeans: 25, accuracy = 86.17
114/2940 w = uniform, k = 1, l1 = 1, l2 = 2.5, tukey = True, tukey_lambda = 1, kmeans: 50, accuracy = 86.03
115/2940 w = uniform, k = 1, l1 = 1, l2 = 5, tukey = True, tukey_lambda = 1, kmeans: 1, accuracy = 85.65
116/2940 w = uniform, k = 1, l1 = 1, l2 = 5, tukey = True, tukey_lambda = 1, kmeans: 3, accuracy = 85.71000000000001
117/2940 w = uniform, k = 1, l1 = 1, l2 = 5, tukey = True, tukey_lambda = 1, kmeans: 5, accuracy = 85.75
118/2940 w = uniform, k = 1, l1 = 1, l2 = 5, tukey = True, tukey_lambda = 1, kmeans: 10, accuracy = 86.05000000000001
119/2940 w = uniform, k = 1, l1 = 1, l2 = 5, tukey = True, tukey_lambda = 1, kmeans: 25, accuracy = 86.17
120/2940 w = uniform, k = 1, l1 = 1, l2 = 5, tukey = True, tukey_lambda = 1, kmeans: 50, accuracy = 86.39
121/2940 w = uniform, k = 1, l1 = 1, l2 = 10, tukey = True, tukey_lambda = 1, kmeans: 1, accuracy = 85.66
122/2940 w = uniform, k = 1, l1 = 1, l2 = 10, tukey = True, tukey_lambda = 1, kmeans: 3, accuracy = 85.68
123/2940 w = uniform, k = 1, l1 = 1, l2 = 10, tukey = True, tukey_lambda = 1, kmeans: 5, accuracy = 85.72000000000001
124/2940 w = uniform, k = 1, l1 = 1, l2 = 10, tukey = True, tukey_lambda = 1, kmeans: 10, accuracy = 85.88
125/2940 w = uniform, k = 1, l1 = 1, l2 = 10, tukey = True, tukey_lambda = 1, kmeans: 25, accuracy = 86.26
126/2940 w = uniform, k = 1, l1 = 1, l2 = 10, tukey = True, tukey_lambda = 1, kmeans: 50, accuracy = 86.24000000000001
127/2940 w = uniform, k = 1, l1 = 2, l2 = 0, tukey = True, tukey_lambda = 1, kmeans: 1, accuracy = 86.32000000000001
128/2940 w = uniform, k = 1, l1 = 2, l2 = 0, tukey = True, tukey_lambda = 1, kmeans: 3, accuracy = 86.39
129/2940 w = uniform, k = 1, l1 = 2, l2 = 0, tukey = True, tukey_lambda = 1, kmeans: 5, accuracy = 86.61000000000001
130/2940 w = uniform, k = 1, l1 = 2, l2 = 0, tukey = True, tukey_lambda = 1, kmeans: 10, accuracy = 86.81
131/2940 w = uniform, k = 1, l1 = 2, l2 = 0, tukey = True, tukey_lambda = 1, kmeans: 25, accuracy = 86.69
132/2940 w = uniform, k = 1, l1 = 2, l2 = 0, tukey = True, tukey_lambda = 1, kmeans: 50, accuracy = 86.85000000000001
133/2940 w = uniform, k = 1, l1 = 2, l2 = 0.5, tukey = True, tukey_lambda = 1, kmeans: 1, accuracy = 86.32000000000001
134/2940 w = uniform, k = 1, l1 = 2, l2 = 0.5, tukey = True, tukey_lambda = 1, kmeans: 3, accuracy = 86.38
135/2940 w = uniform, k = 1, l1 = 2, l2 = 0.5, tukey = True, tukey_lambda = 1, kmeans: 5, accuracy = 86.46000000000001
136/2940 w = uniform, k = 1, l1 = 2, l2 = 0.5, tukey = True, tukey_lambda = 1, kmeans: 10, accuracy = 86.68
137/2940 w = uniform, k = 1, l1 = 2, l2 = 0.5, tukey = True, tukey_lambda = 1, kmeans: 25, accuracy = 86.6
138/2940 w = uniform, k = 1, l1 = 2, l2 = 0.5, tukey = True, tukey_lambda = 1, kmeans: 50, accuracy = 86.55000000000001
139/2940 w = uniform, k = 1, l1 = 2, l2 = 1, tukey = True, tukey_lambda = 1, kmeans: 1, accuracy = 86.33000000000001
140/2940 w = uniform, k = 1, l1 = 2, l2 = 1, tukey = True, tukey_lambda = 1, kmeans: 3, accuracy = 86.32000000000001
141/2940 w = uniform, k = 1, l1 = 2, l2 = 1, tukey = True, tukey_lambda = 1, kmeans: 5, accuracy = 86.54
142/2940 w = uniform, k = 1, l1 = 2, l2 = 1, tukey = True, tukey_lambda = 1, kmeans: 10, accuracy = 86.57000000000001
143/2940 w = uniform, k = 1, l1 = 2, l2 = 1, tukey = True, tukey_lambda = 1, kmeans: 25, accuracy = 86.63000000000001
144/2940 w = uniform, k = 1, l1 = 2, l2 = 1, tukey = True, tukey_lambda = 1, kmeans: 50, accuracy = 86.8
145/2940 w = uniform, k = 1, l1 = 2, l2 = 2, tukey = True, tukey_lambda = 1, kmeans: 1, accuracy = 86.29
146/2940 w = uniform, k = 1, l1 = 2, l2 = 2, tukey = True, tukey_lambda = 1, kmeans: 3, accuracy = 86.27
147/2940 w = uniform, k = 1, l1 = 2, l2 = 2, tukey = True, tukey_lambda = 1, kmeans: 5, accuracy = 86.45
148/2940 w = uniform, k = 1, l1 = 2, l2 = 2, tukey = True, tukey_lambda = 1, kmeans: 10, accuracy = 86.7
149/2940 w = uniform, k = 1, l1 = 2, l2 = 2, tukey = True, tukey_lambda = 1, kmeans: 25, accuracy = 86.77
150/2940 w = uniform, k = 1, l1 = 2, l2 = 2, tukey = True, tukey_lambda = 1, kmeans: 50, accuracy = 86.69
151/2940 w = uniform, k = 1, l1 = 2, l2 = 2.5, tukey = True, tukey_lambda = 1, kmeans: 1, accuracy = 86.38
152/2940 w = uniform, k = 1, l1 = 2, l2 = 2.5, tukey = True, tukey_lambda = 1, kmeans: 3, accuracy = 86.5
153/2940 w = uniform, k = 1, l1 = 2, l2 = 2.5, tukey = True, tukey_lambda = 1, kmeans: 5, accuracy = 86.6
154/2940 w = uniform, k = 1, l1 = 2, l2 = 2.5, tukey = True, tukey_lambda = 1, kmeans: 10, accuracy = 86.57000000000001
155/2940 w = uniform, k = 1, l1 = 2, l2 = 2.5, tukey = True, tukey_lambda = 1, kmeans: 25, accuracy = 86.61000000000001
156/2940 w = uniform, k = 1, l1 = 2, l2 = 2.5, tukey = True, tukey_lambda = 1, kmeans: 50, accuracy = 86.68
157/2940 w = uniform, k = 1, l1 = 2, l2 = 5, tukey = True, tukey_lambda = 1, kmeans: 1, accuracy = 86.34
158/2940 w = uniform, k = 1, l1 = 2, l2 = 5, tukey = True, tukey_lambda = 1, kmeans: 3, accuracy = 86.43
159/2940 w = uniform, k = 1, l1 = 2, l2 = 5, tukey = True, tukey_lambda = 1, kmeans: 5, accuracy = 86.41000000000001
160/2940 w = uniform, k = 1, l1 = 2, l2 = 5, tukey = True, tukey_lambda = 1, kmeans: 10, accuracy = 86.7
161/2940 w = uniform, k = 1, l1 = 2, l2 = 5, tukey = True, tukey_lambda = 1, kmeans: 25, accuracy = 86.84
162/2940 w = uniform, k = 1, l1 = 2, l2 = 5, tukey = True, tukey_lambda = 1, kmeans: 50, accuracy = 86.47
163/2940 w = uniform, k = 1, l1 = 2, l2 = 10, tukey = True, tukey_lambda = 1, kmeans: 1, accuracy = 86.33000000000001
164/2940 w = uniform, k = 1, l1 = 2, l2 = 10, tukey = True, tukey_lambda = 1, kmeans: 3, accuracy = 86.31
165/2940 w = uniform, k = 1, l1 = 2, l2 = 10, tukey = True, tukey_lambda = 1, kmeans: 5, accuracy = 86.36
166/2940 w = uniform, k = 1, l1 = 2, l2 = 10, tukey = True, tukey_lambda = 1, kmeans: 10, accuracy = 86.59
167/2940 w = uniform, k = 1, l1 = 2, l2 = 10, tukey = True, tukey_lambda = 1, kmeans: 25, accuracy = 86.8
168/2940 w = uniform, k = 1, l1 = 2, l2 = 10, tukey = True, tukey_lambda = 1, kmeans: 50, accuracy = 86.87
169/2940 w = uniform, k = 1, l1 = 2.5, l2 = 0, tukey = True, tukey_lambda = 1, kmeans: 1, accuracy = 86.61000000000001
170/2940 w = uniform, k = 1, l1 = 2.5, l2 = 0, tukey = True, tukey_lambda = 1, kmeans: 3, accuracy = 86.54
171/2940 w = uniform, k = 1, l1 = 2.5, l2 = 0, tukey = True, tukey_lambda = 1, kmeans: 5, accuracy = 86.66
172/2940 w = uniform, k = 1, l1 = 2.5, l2 = 0, tukey = True, tukey_lambda = 1, kmeans: 10, accuracy = 86.67
173/2940 w = uniform, k = 1, l1 = 2.5, l2 = 0, tukey = True, tukey_lambda = 1, kmeans: 25, accuracy = 86.58
174/2940 w = uniform, k = 1, l1 = 2.5, l2 = 0, tukey = True, tukey_lambda = 1, kmeans: 50, accuracy = 86.75
175/2940 w = uniform, k = 1, l1 = 2.5, l2 = 0.5, tukey = True, tukey_lambda = 1, kmeans: 1, accuracy = 86.61000000000001
176/2940 w = uniform, k = 1, l1 = 2.5, l2 = 0.5, tukey = True, tukey_lambda = 1, kmeans: 3, accuracy = 86.53
177/2940 w = uniform, k = 1, l1 = 2.5, l2 = 0.5, tukey = True, tukey_lambda = 1, kmeans: 5, accuracy = 86.6
178/2940 w = uniform, k = 1, l1 = 2.5, l2 = 0.5, tukey = True, tukey_lambda = 1, kmeans: 10, accuracy = 86.69
179/2940 w = uniform, k = 1, l1 = 2.5, l2 = 0.5, tukey = True, tukey_lambda = 1, kmeans: 25, accuracy = 86.69
180/2940 w = uniform, k = 1, l1 = 2.5, l2 = 0.5, tukey = True, tukey_lambda = 1, kmeans: 50, accuracy = 86.63000000000001
181/2940 w = uniform, k = 1, l1 = 2.5, l2 = 1, tukey = True, tukey_lambda = 1, kmeans: 1, accuracy = 86.61000000000001
182/2940 w = uniform, k = 1, l1 = 2.5, l2 = 1, tukey = True, tukey_lambda = 1, kmeans: 3, accuracy = 86.59
183/2940 w = uniform, k = 1, l1 = 2.5, l2 = 1, tukey = True, tukey_lambda = 1, kmeans: 5, accuracy = 86.76
184/2940 w = uniform, k = 1, l1 = 2.5, l2 = 1, tukey = True, tukey_lambda = 1, kmeans: 10, accuracy = 86.75
185/2940 w = uniform, k = 1, l1 = 2.5, l2 = 1, tukey = True, tukey_lambda = 1, kmeans: 25, accuracy = 86.61000000000001
186/2940 w = uniform, k = 1, l1 = 2.5, l2 = 1, tukey = True, tukey_lambda = 1, kmeans: 50, accuracy = 86.83000000000001
187/2940 w = uniform, k = 1, l1 = 2.5, l2 = 2, tukey = True, tukey_lambda = 1, kmeans: 1, accuracy = 86.6
188/2940 w = uniform, k = 1, l1 = 2.5, l2 = 2, tukey = True, tukey_lambda = 1, kmeans: 3, accuracy = 86.59
