178/1800 w = uniform, k = 1, l1 = 5, l2 = 5, tukey = True, tukey_lambda = 1, kmeans: 50, accuracy = 86.8
179/1800 w = uniform, k = 1, l1 = 5, l2 = 5, tukey = True, tukey_lambda = 1, kmeans: 75, accuracy = 86.73
180/1800 w = uniform, k = 1, l1 = 5, l2 = 5, tukey = True, tukey_lambda = 1, kmeans: 100, accuracy = 86.69
181/1800 w = uniform, k = 3, l1 = 0, l2 = 0, tukey = True, tukey_lambda = 1, kmeans: 10, accuracy = 4.3500000000000005
182/1800 w = uniform, k = 3, l1 = 0, l2 = 0, tukey = True, tukey_lambda = 1, kmeans: 25, accuracy = 3.8900000000000006
183/1800 w = uniform, k = 3, l1 = 0, l2 = 0, tukey = True, tukey_lambda = 1, kmeans: 50, accuracy = 4.03
184/1800 w = uniform, k = 3, l1 = 0, l2 = 0, tukey = True, tukey_lambda = 1, kmeans: 75, accuracy = 3.64
185/1800 w = uniform, k = 3, l1 = 0, l2 = 0, tukey = True, tukey_lambda = 1, kmeans: 100, accuracy = 3.63
186/1800 w = uniform, k = 3, l1 = 0, l2 = 0.5, tukey = True, tukey_lambda = 1, kmeans: 10, accuracy = 82.45
187/1800 w = uniform, k = 3, l1 = 0, l2 = 0.5, tukey = True, tukey_lambda = 1, kmeans: 25, accuracy = 82.82000000000001
188/1800 w = uniform, k = 3, l1 = 0, l2 = 0.5, tukey = True, tukey_lambda = 1, kmeans: 50, accuracy = 83.09
189/1800 w = uniform, k = 3, l1 = 0, l2 = 0.5, tukey = True, tukey_lambda = 1, kmeans: 75, accuracy = 83.24000000000001
190/1800 w = uniform, k = 3, l1 = 0, l2 = 0.5, tukey = True, tukey_lambda = 1, kmeans: 100, accuracy = 83.03
191/1800 w = uniform, k = 3, l1 = 0, l2 = 1, tukey = True, tukey_lambda = 1, kmeans: 10, accuracy = 82.43
192/1800 w = uniform, k = 3, l1 = 0, l2 = 1, tukey = True, tukey_lambda = 1, kmeans: 25, accuracy = 83.05
193/1800 w = uniform, k = 3, l1 = 0, l2 = 1, tukey = True, tukey_lambda = 1, kmeans: 50, accuracy = 82.88000000000001
194/1800 w = uniform, k = 3, l1 = 0, l2 = 1, tukey = True, tukey_lambda = 1, kmeans: 75, accuracy = 83.17
195/1800 w = uniform, k = 3, l1 = 0, l2 = 1, tukey = True, tukey_lambda = 1, kmeans: 100, accuracy = 83.36
196/1800 w = uniform, k = 3, l1 = 0, l2 = 2, tukey = True, tukey_lambda = 1, kmeans: 10, accuracy = 82.64
197/1800 w = uniform, k = 3, l1 = 0, l2 = 2, tukey = True, tukey_lambda = 1, kmeans: 25, accuracy = 83.07
198/1800 w = uniform, k = 3, l1 = 0, l2 = 2, tukey = True, tukey_lambda = 1, kmeans: 50, accuracy = 83.18
199/1800 w = uniform, k = 3, l1 = 0, l2 = 2, tukey = True, tukey_lambda = 1, kmeans: 75, accuracy = 83.22
200/1800 w = uniform, k = 3, l1 = 0, l2 = 2, tukey = True, tukey_lambda = 1, kmeans: 100, accuracy = 83.45
201/1800 w = uniform, k = 3, l1 = 0, l2 = 2.5, tukey = True, tukey_lambda = 1, kmeans: 10, accuracy = 82.60000000000001
202/1800 w = uniform, k = 3, l1 = 0, l2 = 2.5, tukey = True, tukey_lambda = 1, kmeans: 25, accuracy = 82.97
203/1800 w = uniform, k = 3, l1 = 0, l2 = 2.5, tukey = True, tukey_lambda = 1, kmeans: 50, accuracy = 83.22
204/1800 w = uniform, k = 3, l1 = 0, l2 = 2.5, tukey = True, tukey_lambda = 1, kmeans: 75, accuracy = 83.37
205/1800 w = uniform, k = 3, l1 = 0, l2 = 2.5, tukey = True, tukey_lambda = 1, kmeans: 100, accuracy = 83.41000000000001
206/1800 w = uniform, k = 3, l1 = 0, l2 = 5, tukey = True, tukey_lambda = 1, kmeans: 10, accuracy = 82.94
207/1800 w = uniform, k = 3, l1 = 0, l2 = 5, tukey = True, tukey_lambda = 1, kmeans: 25, accuracy = 83.26
208/1800 w = uniform, k = 3, l1 = 0, l2 = 5, tukey = True, tukey_lambda = 1, kmeans: 50, accuracy = 83.35000000000001
