test_id,weight,k,l1,l2,tukey,tukey_lambda,seed,kmeans,accuracy
142,uniform,1,1,2.5,True,1,200,100,86.11000000000001
143,uniform,1,1,2.5,True,1,300,100,86.05000000000001
144,uniform,1,1,2.5,True,1,400,100,86.27
145,uniform,1,1,5,True,1,200,10,85.97
146,uniform,1,1,5,True,1,300,10,86.05000000000001
147,uniform,1,1,5,True,1,400,10,86.0
148,uniform,1,1,5,True,1,200,25,86.31
149,uniform,1,1,5,True,1,300,25,86.24000000000001
150,uniform,1,1,5,True,1,400,25,86.0
151,uniform,1,1,5,True,1,200,50,86.29
152,uniform,1,1,5,True,1,300,50,86.26
153,uniform,1,1,5,True,1,400,50,86.29
154,uniform,1,1,5,True,1,200,100,86.13000000000001
155,uniform,1,1,5,True,1,300,100,86.04
156,uniform,1,1,5,True,1,400,100,86.27
157,uniform,1,1,10,True,1,200,10,85.96000000000001
158,uniform,1,1,10,True,1,300,10,86.05000000000001
159,uniform,1,1,10,True,1,400,10,85.99
160,uniform,1,1,10,True,1,200,25,86.29
161,uniform,1,1,10,True,1,300,25,86.25
162,uniform,1,1,10,True,1,400,25,85.99
163,uniform,1,1,10,True,1,200,50,86.29
164,uniform,1,1,10,True,1,300,50,86.26
165,uniform,1,1,10,True,1,400,50,86.28
166,uniform,1,1,10,True,1,200,100,86.13000000000001
167,uniform,1,1,10,True,1,300,100,86.03
168,uniform,1,1,10,True,1,400,100,86.28
169,uniform,1,2,0,True,1,200,10,86.44000000000001
170,uniform,1,2,0,True,1,300,10,86.62
171,uniform,1,2,0,True,1,400,10,86.61000000000001
172,uniform,1,2,0,True,1,200,25,86.62
173,uniform,1,2,0,True,1,300,25,86.53
174,uniform,1,2,0,True,1,400,25,86.66
175,uniform,1,2,0,True,1,200,50,86.67
176,uniform,1,2,0,True,1,300,50,86.59
177,uniform,1,2,0,True,1,400,50,86.81
178,uniform,1,2,0,True,1,200,100,86.71000000000001
179,uniform,1,2,0,True,1,300,100,86.54
180,uniform,1,2,0,True,1,400,100,86.7
181,uniform,1,2,0.5,True,1,200,10,86.44000000000001
182,uniform,1,2,0.5,True,1,300,10,86.62
183,uniform,1,2,0.5,True,1,400,10,86.61000000000001
184,uniform,1,2,0.5,True,1,200,25,86.62
185,uniform,1,2,0.5,True,1,300,25,86.54
186,uniform,1,2,0.5,True,1,400,25,86.66
